TradeDate,Ticker
2020-11-13,NR
2020-11-13,NHLD
2020-11-13,DXC
2020-11-13,FBIZ
2020-11-13,MFNC
2020-11-13,GDYN
2020-11-13,DCTH
2020-11-13,ACCO
2020-11-13,CTG
2020-11-13,WSTG
2020-11-13,CPST
2020-11-13,MPLN
2020-11-13,CTG
2020-11-12,TESS
2020-11-12,MN
2020-11-12,ADOC
2020-11-12,ADOC
2020-11-12,CAR
2020-11-12,TISI
2020-11-12,FPAY
2020-11-12,GSKY
2020-11-12,MFNC
2020-11-12,MS
2020-11-12,CTHR
2020-11-12,MACK
2020-11-12,MACK
2020-11-12,BTN
2020-11-12,TISI
2020-11-12,FXNC
2020-11-12,ANAT
2020-11-12,OEC
2020-11-12,ATRS
2020-11-12,EVC
2020-11-12,NRIM
2020-11-12,HBI
2020-11-12,TIPT
2020-11-12,CHSCP
2020-11-11,NC
2020-11-11,BBBY
2020-11-11,NC
2020-11-11,NC
2020-11-11,HBB
2020-11-11,HBB
2020-11-11,HBB
2020-11-11,CVCY
2020-11-11,PCB
2020-11-11,SYNL
2020-11-11,STKS
2020-11-11,EPZM
2020-11-11,OGE
2020-11-11,HCI
2020-11-11,APLE
2020-11-11,ARLO
2020-11-11,MTRX
2020-11-11,KAR
2020-11-11,ARAY
2020-11-11,MYGN
2020-11-10,KDNY
2020-11-10,CNBKA
2020-11-10,GTHX
2020-11-10,CWH
2020-11-10,PI
2020-11-10,WSC
2020-11-10,THS
2020-11-10,JSDA
2020-11-10,JSDA
2020-11-10,UEPS
2020-11-10,UEPS
2020-11-10,FET
2020-11-10,CMCT
2020-11-10,CMCT
2020-11-10,CMCT
2020-11-10,CMCT
2020-11-10,LGF.B
2020-11-10,MAXR
2020-11-10,MAXR
2020-11-10,SPOK
2020-11-10,XAN
2020-11-10,TCBI
2020-11-10,VRTX
2020-11-10,VRAY
2020-11-10,CALX
2020-11-10,Y
2020-11-10,CDTX
2020-11-10,CDTX
2020-11-10,VICI
2020-11-10,NEWR
2020-11-10,PRAX
2020-11-10,TUP
2020-11-10,CRC
2020-11-09,MGEN
2020-11-09,DVCR
2020-11-09,PBFX
2020-11-09,CORT
2020-11-09,ARVN
2020-11-09,CERE
2020-11-09,CERE
2020-11-09,CERE
2020-11-09,ANIP
2020-11-09,CYCN
2020-11-09,HZN
2020-11-09,FXNC
2020-11-09,SABR
2020-11-09,CWH
2020-11-09,AAT
2020-11-09,MTEM
2020-11-09,BGSF
2020-11-09,NUVA
2020-11-09,FNWB
2020-11-09,HBI
2020-11-09,UFCS
2020-11-09,PRGO
2020-11-06,SUP
2020-11-06,CORT
2020-11-06,AON
2020-11-06,MED
2020-11-06,XRX
2020-11-06,VPG
2020-11-06,CVX
2020-11-06,PSN
2020-11-06,SMMT
2020-11-06,PEB
2020-11-06,CINF
2020-11-04,HTLF
2020-10-30,SONA
2020-10-30,CFX
2020-10-30,GATO
2020-10-29,TCON
2020-10-16,BPSR
2020-09-25,ICCT
2020-09-11,ELYS
2020-08-14,DCT
2020-08-14,DCT
2020-08-14,DCT
2020-08-14,DCT
2020-08-14,DCT
2020-08-14,DCT
2020-08-14,DCT
2020-08-14,DCT
2020-08-07,GDOT
2020-07-07,NLTX
2020-06-11,AVTR
2020-06-11,AVTR
2020-05-14,NCBS
2020-05-13,NCBS
2020-04-07,ZNTL
2020-04-07,ZNTL
2020-03-13,FCNCA
2020-03-13,FCNCA
2020-03-12,SBGI
2020-03-10,NSIT
2020-03-09,UMBF
2019-12-13,SPT
2019-12-13,SPT
2019-12-13,SPT
2019-12-10,TACO
2019-08-19,ESTA
2018-11-14,MNKD
2017-03-03,PSTG
